queryNo|tables|conditions|subqueries|joins|paths|functions|total columns|used columns|query
37|1|2|0|0|5|0|7|2|SELECT meeting_id id FROM meetings_users  WHERE meetings_users.user_id = '' AND meetings_users.deleted=0
38|1|2|0|0|4|0|11|2|SELECT aos_product_categories.* FROM aos_product_categories  WHERE aos_product_categories.id = '1' AND aos_product_categories.deleted=0 LIMIT 0,1
39|1|2|0|0|5|0|7|2|SELECT calls_users.required, calls_users.accept_status, calls_users.user_id from calls_users where calls_users.call_id='1' AND calls_users.deleted=0
40|1|2|0|0|4|0|16|2|SELECT notes.* FROM notes  WHERE notes.id = '2ca107b1-7e57-2768-b563-589c8376f3f4' AND notes.deleted=0 LIMIT 0,1
41|2|5|0|1|12|0|46|6|SELECT contacts.first_name, contacts.last_name, contacts.phone_work, contacts.id, contacts.assigned_user_id contact_name_owner, 'Contacts' contact_name_mod FROM contacts, emails_beans WHERE emails_beans.email_id='b3cd04d9-5080-4707-0979-589c859a71d7' AND emails_beans.bean_id=contacts.id AND emails_beans.bean_module = 'Contacts' AND emails_beans.deleted=0 AND contacts.deleted=0
42|2|3|0|1|6|0|56|3|SELECT leads.*,leads_cstm.* FROM leads  LEFT JOIN leads_cstm ON leads.id = leads_cstm.id_c  WHERE leads.id = 'ca56e9f8-ae3b-ab0d-5326-589c8518ddab' AND leads.deleted=0 LIMIT 0,1
43|2|8|0|1|15|1|17|7|select count(securitygroups.id) as results from securitygroups inner join securitygroups_users on securitygroups.id = securitygroups_users.securitygroup_id  and securitygroups_users.deleted = 0  where securitygroups.deleted = 0 and securitygroups_users.user_id = ''   and (securitygroups.noninheritable is null or securitygroups.noninheritable <> 1)   and (securitygroups_users.noninheritable is null or securitygroups_users.noninheritable <> 1) 
44|1|2|0|0|4|0|18|2|SELECT id ,cases.name as case_name , cases.assigned_user_id owner FROM cases WHERE deleted=0 AND id='610b3ee0-80df-4b8f-54d1-589c8545f8c6'
45|1|2|0|0|4|0|9|2|SELECT id FROM oauth_tokens WHERE oauth_tokens.assigned_user_id = '' AND oauth_tokens.deleted=0
46|1|1|0|0|2|0|39|1|SELECT first_name, last_name, assigned_user_id contact_name_owner FROM contacts WHERE id='1' LIMIT 0,1
47|1|1|0|0|3|0|10|1|SELECT acl_actions.* FROM acl_actions  WHERE acl_actions.deleted=0 ORDER BY acl_actions.category, acl_actions.name
48|1|1|0|0|3|0|8|1|SELECT id FROM email_addresses WHERE email_address_caps = 'FROM_TEST@EMAIL.COM'
49|1|1|0|0|2|0|33|1|SELECT name from accounts where id='1'
50|1|4|0|0|9|0|11|4|SELECT id FROM favorites WHERE parent_id= '1' AND parent_type = 'Accounts' AND assigned_user_id = '' AND deleted = 0 ORDER BY date_entered DESC LIMIT 0,1
51|1|2|0|0|5|0|7|2|SELECT lead_id id FROM calls_leads  WHERE calls_leads.call_id = 'c94a263b-747b-d4f1-f2f5-589c85af76fe' AND calls_leads.deleted=0
52|1|2|0|0|4|0|32|2|SELECT * FROM project_task WHERE project_id = '1' AND deleted = 0 ORDER BY project_task_id
53|1|1|0|0|2|0|6|1|SELECT related_id, related_type FROM prospect_lists_prospects WHERE id = ''
54|1|5|0|0|10|0|18|4|SELECT eapm.* FROM eapm  WHERE assigned_user_id = '' AND application = '' AND deleted = '0' AND validated = '1' AND deleted=0 LIMIT 0,1
55|1|2|0|0|4|0|8|2|SELECT id, email_address, invalid_email, opt_out FROM email_addresses WHERE id IN ('b706125e-bdb6-1939-22ff-58974811a509') AND deleted=0
56|1|2|0|0|5|0|16|2|SELECT id FROM notes WHERE notes.parent_id = '8e5f042a-01a2-b1ab-53df-589c856d05a2' AND notes.deleted=0
57|1|3|0|0|6|0|9|3|SELECT id, name FROM releases where name is not null and deleted=0  and status='Hidden'  order by list_order asc
58|2|3|0|1|8|0|15|4|select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0
59|1|2|0|0|4|0|11|2|SELECT aor_reports.* FROM aor_reports  WHERE aor_reports.id = '22761e76-c3df-05f1-f67d-589c854aac22' AND aor_reports.deleted=0 LIMIT 0,1
60|1|1|0|0|2|0|51|1|SELECT first_name, last_name from leads where id='1'
61|1|2|0|0|5|0|5|2|SELECT aos_quotes77d9_quotes_ida id FROM aos_quotes_aos_invoices_c  WHERE aos_quotes_aos_invoices_c.aos_quotes6b83nvoices_idb = 'eaf912f5-3473-ccd0-a564-589c8573a960' AND aos_quotes_aos_invoices_c.deleted=0
62|1|2|0|0|5|0|16|2|SELECT relationship_name, rhs_module, lhs_module FROM relationships WHERE deleted=0 AND relationship_name = 'test_test'
63|1|3|0|0|6|0|8|3|SELECT id from vcals where user_id='' AND type='vfb' AND deleted=0
64|1|2|0|0|4|0|11|2|SELECT aod_index.* FROM aod_index  WHERE aod_index.id = '1' AND aod_index.deleted=0 LIMIT 0,1
65|1|2|0|0|5|0|36|2|SELECT id FROM meetings WHERE repeat_parent_id = '259c2f1b-922d-ab63-b5d9-589c85cea2d8' AND deleted = 0 ORDER BY date_start
66|1|2|0|0|5|0|11|2|SELECT id FROM calls_reschedule WHERE calls_reschedule.call_id = '1' AND calls_reschedule.deleted=0
67|1|2|0|0|5|0|5|2|SELECT project_users_1project_ida id FROM project_users_1_c  WHERE project_users_1_c.project_users_1users_idb = '' AND project_users_1_c.deleted=0
68|1|1|0|0|3|0|5|1|SELECT role_id FROM roles_users WHERE user_id='1'
69|1|2|0|0|4|0|32|2|SELECT id FROM project_task WHERE project_task.project_id = 'b73ad8f7-7e94-2e67-2afc-589c85f52879' AND project_task.deleted=0
70|1|3|0|1|7|0|39|3|SELECT u1.first_name, u1.last_name from users  u1, users  u2 where u1.id = u2.reports_to_id AND u2.id = '42494856-4357-0ff9-d7a8-58974c4b55f8' and u1.deleted=0
71|1|1|0|0|3|0|39|1|SELECT * from users where user_name='test' LIMIT 0,1
72|1|2|0|0|4|0|18|2|SELECT aor_conditions.* FROM aor_conditions  WHERE aor_conditions.id = '389d0165-5d89-69c3-cdee-589c85f0401c' AND aor_conditions.deleted=0 LIMIT 0,1
73|2|3|0|1|6|0|38|3|SELECT accounts.*,accounts_cstm.* FROM accounts  LEFT JOIN accounts_cstm ON accounts.id = accounts_cstm.id_c  WHERE accounts.id = '1' AND accounts.deleted=0 LIMIT 0,1
74|1|4|0|0|8|0|18|3|SELECT eapm.* FROM eapm  WHERE assigned_user_id = '' AND application = '' AND deleted = '0' AND deleted=0 LIMIT 0,1
75|1|2|0|0|5|0|15|2|SELECT id FROM aow_conditions WHERE aow_workflow_id = '' AND deleted = 0 ORDER BY condition_order ASC
76|2|3|0|1|6|0|41|3|SELECT meetings.*, meetings_cstm.* FROM meetings LEFT JOIN meetings_cstm ON meetings.id = meetings_cstm.id_c  WHERE meetings.deleted = 0 AND meetings.id = '1' LIMIT 0,1
77|1|3|0|0|7|0|7|3|SELECT * FROM meetings_contacts WHERE deleted = '0'   AND contact_id = ''  AND meeting_id = '259c2f1b-922d-ab63-b5d9-589c85cea2d8' 
78|1|2|0|0|5|0|5|2|SELECT role_id id FROM acl_roles_users  WHERE acl_roles_users.user_id = 'd9c07713-989b-ccdc-2cad-589c8529ef35' AND acl_roles_users.deleted=0
79|1|2|0|0|4|0|12|2|SELECT aor_charts.* FROM aor_charts  WHERE aor_charts.id = '353ca905-49b5-ed0a-b6b6-589c85fc8d6e' AND aor_charts.deleted=0 LIMIT 0,1
80|1|3|0|0|6|0|9|3|select email_address_id from email_addr_bean_rel where bean_id = '' and email_addr_bean_rel.primary_address=1 and deleted=0
81|1|2|0|0|4|0|13|2|SELECT aor_scheduled_reports.* FROM aor_scheduled_reports  WHERE aor_scheduled_reports.id = '9df9f4e0-9555-4dfd-a09c-589c8597d4ae' AND aor_scheduled_reports.deleted=0 LIMIT 0,1
82|1|3|0|0|8|0|16|3|SELECT lhs_module, rhs_module FROM relationships WHERE deleted=0 AND (lhs_module = 'SecurityGroups' OR rhs_module='SecurityGroups')
83|1|2|0|0|4|0|19|2|SELECT bugs.* FROM bugs  WHERE bugs.id = '58800532-0e9d-ccaf-e85e-589c85722403' AND bugs.deleted=0 LIMIT 0,1
84|1|1|0|0|2|0|25|1|SELECT name from campaigns where id = ''
85|1|3|0|0|7|0|9|3|SELECT id, name FROM releases where releases.name LIKE '%test%' and deleted=0  and status='Active'  order by list_order asc
86|1|1|0|0|2|0|14|1|SELECT name, assigned_user_id FROM project WHERE id='1'
87|1|2|0|0|5|0|10|2|SELECT * FROM acl_actions WHERE deleted=0  AND acltype='module' ORDER BY category
88|1|2|0|0|5|0|5|2|SELECT account_id id FROM accounts_bugs  WHERE accounts_bugs.bug_id = '58800532-0e9d-ccaf-e85e-589c85722403' AND accounts_bugs.deleted=0
89|3|5|0|2|10|0|43|6|SELECT accounts.*, accounts_cstm.* FROM accounts LEFT JOIN accounts_cstm ON accounts.id = accounts_cstm.id_c  LEFT JOIN accounts_opportunities ON accounts.id = accounts_opportunities.account_id AND accounts_opportunities.deleted = 0  WHERE accounts.deleted = 0 AND accounts_opportunities.opportunity_id = '' LIMIT 0,1
90|1|2|0|0|4|0|46|2|SELECT aos_invoices.* FROM aos_invoices  WHERE aos_invoices.id = '1' AND aos_invoices.deleted=0 LIMIT 0,1
91|2|2|0|1|5|0|49|3|SELECT accounts_audit.*, users.user_name FROM accounts_audit, users WHERE accounts_audit.created_by = users.id AND accounts_audit.parent_id = '' order by accounts_audit.date_created desc
92|3|7|0|2|13|0|56|8|select users.id, users.user_name, users.first_name, users.last_name from securitygroups inner join securitygroups_users on securitygroups.id = securitygroups_users.securitygroup_id  and securitygroups_users.deleted = 0 inner join users on securitygroups_users.user_id = users.id and users.deleted = 0  where securitygroups.deleted = 0 and users.employee_status = 'Active'   and securitygroups.id = ''  order by users.user_name asc 
93|1|2|0|0|5|0|7|2|SELECT call_id id FROM calls_users  WHERE calls_users.user_id = '' AND calls_users.deleted=0
94|1|2|0|0|5|0|5|2|SELECT user_id id FROM contacts_users  WHERE contacts_users.contact_id = '' AND contacts_users.deleted=0
95|1|2|0|0|4|0|8|2|SELECT email_addresses.* FROM email_addresses  WHERE email_addresses.id = 'b10d3d59-ab27-3b26-13ee-589c84de0d8e' AND email_addresses.deleted=0 LIMIT 0,1
96|1|3|0|0|7|0|6|3|SELECT module_id FROM roles_modules WHERE role_id = '1' AND allow = '1' AND deleted=0
97|1|3|0|0|6|0|9|3|SELECT email_address_id id FROM email_addr_bean_rel  WHERE email_addr_bean_rel.bean_id = '' AND email_addr_bean_rel.bean_module = 'Users' AND email_addr_bean_rel.deleted=0
98|1|2|0|0|4|0|11|2|SELECT prospect_lists.* FROM prospect_lists  WHERE prospect_lists.id = '1a06a34d-9a05-c9dc-5a8b-589c85760304' AND prospect_lists.deleted=0 LIMIT 0,1
99|1|2|0|0|4|0|18|2|select id from email_marketing where template_id='' and deleted=0
100|1|2|0|0|5|0|12|2|SELECT id FROM aow_actions WHERE aow_actions.aow_workflow_id = '1' AND aow_actions.deleted=0
101|1|2|0|0|5|0|11|2|SELECT parent_id, parent_type FROM favorites WHERE assigned_user_id = '' AND deleted = 0 ORDER BY date_entered DESC
102|2|3|0|1|6|0|44|3|SELECT contacts.*,contacts_cstm.* FROM contacts  LEFT JOIN contacts_cstm ON contacts.id = contacts_cstm.id_c  WHERE contacts.id = 'test id' AND contacts.deleted=0 LIMIT 0,1
103|1|1|0|0|2|0|10|1|SELECT from_addr, reply_to_addr, to_addrs, cc_addrs, bcc_addrs, description, description_html, raw_source FROM emails_text WHERE email_id = 'b3cd04d9-5080-4707-0979-589c859a71d7'
104|1|2|0|0|5|0|18|2|SELECT id FROM aor_conditions WHERE aor_conditions.aor_report_id = '22761e76-c3df-05f1-f67d-589c854aac22' AND aor_conditions.deleted=0
105|1|3|0|0|7|0|7|3|SELECT contents FROM user_preferences WHERE assigned_user_id='1' AND category = 'test_category' AND deleted = 0
106|2|3|0|1|6|0|38|3|SELECT accounts.*, accounts_cstm.* FROM accounts LEFT JOIN accounts_cstm ON accounts.id = accounts_cstm.id_c  WHERE accounts.deleted = 0 AND id = '' LIMIT 0,1
107|1|3|0|0|7|1|3|3|SELECT count(*) as the_count FROM config WHERE category='info' AND name='sugar_version' AND value = ''
108|1|2|0|0|4|0|22|2|SELECT aos_products.* FROM aos_products  WHERE aos_products.id = '35088225-e323-0a98-4eaf-589c857e1471' AND aos_products.deleted=0 LIMIT 0,1
109|1|2|0|0|5|0|5|2|SELECT project_id id FROM projects_cases  WHERE projects_cases.case_id = '610b3ee0-80df-4b8f-54d1-589c8545f8c6' AND projects_cases.deleted=0
110|1|2|0|0|4|0|10|2|SELECT currencies.* FROM currencies  WHERE currencies.id = '1edd9b52-818e-d5a4-78be-589c851d5d65' AND currencies.deleted=0 LIMIT 0,1
111|1|2|0|0|4|0|18|2|SELECT email_marketing.* FROM email_marketing  WHERE email_marketing.id = '' AND email_marketing.deleted=0 LIMIT 0,1
112|1|2|0|0|5|0|5|2|SELECT securitygroup_id id FROM securitygroups_acl_roles  WHERE securitygroups_acl_roles.role_id = '' AND securitygroups_acl_roles.deleted=0
113|1|1|0|0|2|0|10|1|select * from currencies where id ='1'
114|5|7|0|4|19|0|84|10|SELECT prospect_lists_prospects.id id,prospects.first_name FROM prospects INNER JOIN prospect_lists_prospects ON prospect_lists_prospects.related_id = prospects.id INNER JOIN prospect_lists ON prospect_lists_prospects.prospect_list_id = prospect_lists.id INNER JOIN prospect_list_campaigns ON prospect_list_campaigns.prospect_list_id = prospect_lists.id INNER JOIN campaigns on campaigns.id = prospect_list_campaigns.campaign_id WHERE prospect_list_campaigns.deleted = 0 AND prospect_lists_prospects.deleted = 0 AND prospect_lists.deleted = 0 LIMIT 0,1
115|2|4|0|1|9|0|51|5|SELECT acc.id, acc.name FROM accounts  acc, cases  WHERE acc.id = cases.account_id AND cases.id = '1' AND cases.deleted=0 AND acc.deleted=0
116|1|4|0|0|8|0|16|4|SELECT id FROM notes where parent_id='1' AND parent_type='Emails' AND file_mime_type is not null AND deleted=0 LIMIT 0,1
117|1|2|0|0|5|0|7|2|SELECT user_id id FROM securitygroups_users  WHERE securitygroups_users.securitygroup_id = 'ab4403a6-3576-eee1-ba12-589c85486314' AND securitygroups_users.deleted=0
118|1|2|0|0|4|0|34|2|SELECT aos_products_quotes.* FROM aos_products_quotes  WHERE aos_products_quotes.id = '56f6e3a8-e6b3-eff2-7f47-589c855dd7a8' AND aos_products_quotes.deleted=0 LIMIT 0,1
119|1|3|0|0|6|0|9|3|select *  from email_addr_bean_rel eabr WHERE eabr.bean_id = 'ca56e9f8-ae3b-ab0d-5326-589c8518ddab' AND eabr.bean_module = 'Leads' and eabr.deleted=0
120|1|1|0|0|3|0|3|1|SELECT config.value FROM config WHERE name='fromaddress'
121|1|2|0|0|5|0|7|2|SELECT meetings_users.required, meetings_users.accept_status, meetings_users.user_id from meetings_users where meetings_users.meeting_id='' AND meetings_users.deleted=0
122|1|2|0|0|5|0|5|2|SELECT contact_id id FROM accounts_contacts  WHERE accounts_contacts.account_id = '' AND accounts_contacts.deleted=0
123|1|2|0|0|4|0|11|2|SELECT campaign_trkrs.* FROM campaign_trkrs  WHERE campaign_trkrs.id = 'ecb15ceb-e4e0-f26f-fe9e-589c859f63b1' AND campaign_trkrs.deleted=0 LIMIT 0,1
124|1|3|0|0|7|0|36|3|SELECT id FROM meetings WHERE meetings.parent_id = '58800532-0e9d-ccaf-e85e-589c85722403' AND meetings.deleted=0 AND meetings.parent_type = 'Bugs'
125|1|2|0|0|5|0|13|2|SELECT id FROM aor_scheduled_reports WHERE aor_scheduled_reports.aor_report_id = '22761e76-c3df-05f1-f67d-589c854aac22' AND aor_scheduled_reports.deleted=0
126|1|2|0|0|4|0|14|2|SELECT aow_workflow.* FROM aow_workflow  WHERE aow_workflow.id = '1' AND aow_workflow.deleted=0 LIMIT 0,1
127|1|2|0|0|5|0|10|2|SELECT id FROM aop_case_events WHERE aop_case_events.case_id = '610b3ee0-80df-4b8f-54d1-589c8545f8c6' AND aop_case_events.deleted=0
128|1|2|0|0|5|0|16|2|SELECT id FROM notes WHERE notes.contact_id = '' AND notes.deleted=0
129|3|8|0|2|10|1|25|9|select count(securitygroups.id) as results from securitygroups inner join securitygroups_users on securitygroups.id = securitygroups_users.securitygroup_id and securitygroups_users.deleted = 0   and securitygroups_users.user_id = '' inner join securitygroups_records on securitygroups.id = securitygroups_records.securitygroup_id and securitygroups_records.deleted = 0   and securitygroups_records.record_id = 'abcde-12345'   and securitygroups_records.module = 'Documents' where securitygroups.deleted = 0 
130|2|6|0|1|13|0|46|6|SELECT contacts.first_name, contacts.last_name, contacts.phone_work, contacts.id, contacts.assigned_user_id contact_name_owner, 'Contacts' contact_name_mod FROM contacts, emails_beans WHERE emails_beans.email_id='' AND emails_beans.bean_id=contacts.id AND emails_beans.bean_module = 'Contacts' AND emails_beans.deleted=0 AND contacts.deleted=0 AND contacts.id= '1' 
131|1|3|0|0|7|0|13|3|SELECT sugarfeed.* FROM sugarfeed  WHERE related_id = '1' AND related_module = 'SugarFeed' AND deleted=0 LIMIT 0,1
132|1|2|0|0|5|0|25|2|SELECT id FROM aos_line_item_groups WHERE aos_line_item_groups.parent_id = '1' AND aos_line_item_groups.deleted=0
133|1|2|0|0|4|0|14|2|select revision from document_revisions where id='1' AND deleted=0
134|1|2|0|0|5|0|9|2|SELECT id, name FROM releases where deleted=0  and status='Active'  order by list_order asc
135|1|2|0|0|5|0|6|2|SELECT aow_processed_id id FROM aow_processed_aow_actions  WHERE aow_processed_aow_actions.aow_action_id = '736c5271-6808-97cd-962b-589c85935bae' AND aow_processed_aow_actions.deleted=0
136|2|2|0|1|5|0|36|3|SELECT document_name, revision, document_revision_id FROM documents, document_revisions where documents.id = '' AND document_revisions.id = documents.document_revision_id
137|1|2|0|0|5|0|22|2|SELECT id FROM aos_products WHERE aos_products.aos_product_category_id = '1c378ecd-b7a5-090b-22f2-589c85e94f55' AND aos_products.deleted=0
138|1|2|0|0|5|0|12|2|SELECT id FROM aow_processed WHERE aow_processed.aow_workflow_id = '9650aa84-7b67-b648-e7a5-589c85589690' AND aow_processed.deleted=0
139|1|2|0|0|5|0|14|2|SELECT id FROM document_revisions WHERE document_revisions.document_id = '6aa0d809-8f2d-fbef-bd77-589c858f860b' AND document_revisions.deleted=0
140|1|3|0|0|7|0|16|3|SELECT * FROM relationships WHERE deleted=0 AND lhs_module = 'Roles' AND rhs_module = 'Users'
141|1|1|0|0|2|0|39|1|SELECT first_name, last_name FROM users WHERE id = ''
142|1|2|0|0|4|0|15|2|SELECT email_templates.* FROM email_templates  WHERE email_templates.id = '1' AND email_templates.deleted=0 LIMIT 0,1
143|1|2|0|0|5|0|34|2|SELECT id FROM aos_products_quotes WHERE aos_products_quotes.group_id = '1228c4a9-614c-31e7-7542-589c85451f14' AND aos_products_quotes.deleted=0
144|1|2|0|0|5|0|39|2|SELECT users.* FROM users  WHERE user_name = '1' AND deleted=0 LIMIT 0,1
145|1|1|0|0|2|0|33|1|SELECT name , assigned_user_id account_name_owner FROM accounts WHERE id='1' LIMIT 0,1
146|1|2|0|0|5|0|15|2|SELECT id FROM aow_conditions WHERE aow_conditions.aow_workflow_id = '9650aa84-7b67-b648-e7a5-589c85589690' AND aow_conditions.deleted=0
147|2|4|0|1|6|0|13|5|SELECT acl_roles.* FROM acl_roles INNER JOIN acl_roles_users ON acl_roles_users.user_id = '1' AND acl_roles_users.role_id = acl_roles.id AND acl_roles_users.deleted = 0 WHERE acl_roles.deleted=0 
148|1|2|0|0|4|0|12|2|SELECT aow_processed.* FROM aow_processed  WHERE aow_processed.id = 'd7abea92-7cf3-ca25-d70d-589c8552ead4' AND aow_processed.deleted=0 LIMIT 0,1
149|1|2|0|0|5|0|7|2|SELECT securitygroup_id id FROM securitygroups_users  WHERE securitygroups_users.user_id = '' AND securitygroups_users.deleted=0
150|1|4|0|0|8|0|7|3|SELECT meetings_users.required, meetings_users.accept_status, meetings_users.meeting_id from meetings_users where meetings_users.user_id='' AND( meetings_users.accept_status IS NULL OR	meetings_users.accept_status='none') AND meetings_users.deleted=0
151|1|2|0|0|5|0|5|2|SELECT case_id id FROM cases_bugs  WHERE cases_bugs.bug_id = '58800532-0e9d-ccaf-e85e-589c85722403' AND cases_bugs.deleted=0
152|1|3|0|0|7|0|7|3|SELECT * FROM meetings_leads WHERE deleted = '0'   AND lead_id = ''  AND meeting_id = '259c2f1b-922d-ab63-b5d9-589c85cea2d8' 
153|1|3|0|0|6|0|39|3|SELECT user_name from users where user_name='admin' AND deleted=0 AND id<>'1'
154|2|9|0|1|22|0|35|8|SELECT calls.* from calls_users,calls  WHERE ((calls.date_start >= '2017-02-08 00:00:00' AND calls.date_start < '2017-02-10 00:00:00') OR (calls.date_start < '2017-02-08 00:00:00' AND calls.date_end > '2017-02-08 00:00:00') AND calls_users.accept_status != 'decline') AND  calls_users.call_id=calls.id AND calls_users.user_id='' AND calls.deleted=0 AND calls_users.deleted=0
155|1|4|0|0|8|0|9|4|SELECT email_address_id id FROM email_addr_bean_rel  WHERE email_addr_bean_rel.bean_id = '' AND email_addr_bean_rel.primary_address = '1' AND bean_module = 'Users' AND email_addr_bean_rel.deleted=0
156|1|2|0|0|5|0|7|2|SELECT contact_id id FROM meetings_contacts  WHERE meetings_contacts.meeting_id = '259c2f1b-922d-ab63-b5d9-589c85cea2d8' AND meetings_contacts.deleted=0
